Publication,Year,Continent,Site Name,Longitude,Latitude,Start,End,Study
Hui_etal_2023,2023,Asia,Tianshui Basin (YD section),105.9166667,34.63333333,6300000,10800000,Quantitative
Hui_etal_2023b,2023,Asia,Nanyu,104.9,37.7,13600000,15970000,Quantitative
Okeefe_2024,2024,N. America,Bouie River,-89.31,31.35,11600000,17000000,Quantitative
Okeefe_2024,2024,N. America,Alum Bluff,-84.986,30.469,15000000,40000000,Quantitative
Okeefe_2024,2024,N. America,Clarkia (All),-116.269,46.998,15140000,82000000,Quantitative
Okeefe_2024,2024,N. America,Clarkia (Megafossils),-116.269,46.998,15140000,64000000,Quantitative
Okeefe_2024,2024,N. America,Clarkia (Pollen),-116.269,46.998,15140000,37000000,Quantitative
Okeefe_2024,2024,N. America,Trapper Creek,-114.079,42.134,12690000,16000000,Quantitative
Pilie,2023,Antarctica,McMurdo Sound,165.2768833,-77.75813333,15600000,16400000,Quantitative
McCoy_2024,2024,Europe,Washing Bay,-6.6,54.54,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,Bovey,-3.92,50.57,27820000,33900000,Quantitative
McCoy_2024,2024,Europe,Ballynakilly,-9.96,53.56,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,Bellbrook,-6.25,54.61,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,Mire House,-6.75,54.55,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,Petrockstowe,-4.13,51,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,Little Minch (80/14) ALL,-5.97,58.06,25500000,31800000,Quantitative
McCoy_2024,2024,Europe,St. Agnes Beacon,-5.23,50.31,27820000,33900000,Quantitative
McCoy_2024,2024,Europe,73/35,-4.59,51.19,23030000,27820000,Quantitative
McCoy_2024,2024,Europe,73/58,-4.41,51.19,23030000,27820000,Quantitative
McCoy_2024,2024,Europe,Ballygiblin,-8.52,52.22,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,Ballymacadam,-9.43,52.24,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,16/16B-A,1.23,58.8,26300000,32100000,Quantitative
McCoy_2024,2024,Europe,21/28-A,-3.1,57.82,26600000,33000000,Quantitative
McCoy_2024,2024,Europe,80/14-A,-6.92,57.77,25500000,31800000,Quantitative
McCoy_2024,2024,Europe,88/12-A,-6.99,56.84,27050000,31800000,Quantitative
McCoy_2024,2024,Europe,78/01-A,-7.32,56.74,25600000,33900000,Quantitative
McCoy_2024,2024,Europe,77/07-B,-4.61,61.51,23030000,31700000,Quantitative
McCoy_2024,2024,Europe,73/36-A,-4.65,51.25,25800000,33900000,Quantitative
McCoy_2024,2024,Europe,LNA,-6.62,54.65,25800000,31650000,Quantitative
McCoy_2024,2024,Europe,LNB,-6.62,54.65,25800000,31650000,Quantitative
McCoy_2024,2024,Europe,LNC,-6.62,54.65,25800000,31650000,Quantitative
McCoy_2024,2024,Europe,LND,-6.62,54.65,25800000,31650000,Quantitative
McCoy_2024,2024,Europe,Castlemartin,-4.99,51.61,15970000,23000000,Quantitative
McCoy_2024,2024,Europe,LN_13611,-6.58,54.99,23030000,27820000,Quantitative
McCoy_2024,2024,Europe,LN_27415,-6.55,54.68,23030000,27820000,Quantitative
McCoy_2024,2024,Europe,LN_603,-6.4,55.11,23030000,27820000,Quantitative
McCoy_2024,2024,Europe,LN_36_4680,-6.4,54.56,23030000,27820000,Quantitative
McCoy_2024,2024,Europe,Mochras (1),-4.14,52.81,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,Mochras (2),-4.14,52.81,15970000,33900000,Quantitative
McCoy_2024,2024,Europe,515.42,-4.14,52.81,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,408.43,-4.14,52.81,23000000,33900000,Quantitative
McCoy_2024,2024,Europe,368.8,-4.14,52.81,15970000,33900000,Quantitative
McCoy_2024,2024,Europe,368.2,-4.14,52.81,15970000,33900000,Quantitative
Gao_etal_2025,2025,Asia,WC36-A South China Sea,112.34,18.27,33900000,46000000,Quantitative
Chevalier_etal_2025,2025,S. America,Fuquene,-73.76666667,5.45,0,284000,Quantitative
Umbo_etal_2025,2025,Asia,Lena River Delta,126.94,72.27,8580000,8680000,Quantitative
Martin-Ramos_etal_2025,2025,Europe,Gran Canaria,-15.5,28.1,0,28000,Quantitative
Herzschuh_etal_2025,2025,Asia,Billyakh,126.74,65.27,0,32000,Quantitative
Gosling_etal_2025,2025,Africa,Bambili,10.24383,5.93487,0,20200,Quantitative
Gosling_etal_2025,2025,Africa,Jikariya,11.077,13.313667,0,11600,Quantitative
Gosling_etal_2025,2025,Africa,Tilla,12.131525,10.544476,0,13100,Quantitative
Gosling_etal_2025,2025,Africa,Kashiru (swamp),29.53333,-3.45,0,26800,Quantitative
Gosling_etal_2025,2025,Africa,Rusaka (swamp),29.61667,-3.43333,0,45200,Quantitative
Gosling_etal_2025,2025,Africa,Rumuiku (swamp),37.535985,-0.46234,0,46700,Quantitative
Gosling_etal_2025,2025,Africa,Deva-Deva (swamp),37.62533,-7.1222,0,42600,Quantitative
Gosling_etal_2025,2025,Africa,Kitumbako (swamp),37.631333,-7.145333,0,12600,Quantitative
Gosling_etal_2025,2025,Africa,Garba Garucha (lake),39.861517,6.877983,0,13700,Quantitative
Trasune_etal_2024,2024,Europe,Lake Udriku,25.93055556,59.37138889,12780,13970,Quantitative
Trasune_etal_2024,2024,Europe,Lake Kursi,26.01555556,59.15583333,11450,14040,Quantitative
Trasune_etal_2024,2024,Europe,Lake Prossa,26.57777778,58.64916667,10300,14980,Quantitative
Trasune_etal_2024,2024,Europe,Lake Nakri,26.27305556,57.895,10020,14430,Quantitative
Trasune_etal_2024,2024,Europe,Solova bog,27.41527778,57.70027778,11100,14510,Quantitative
Trasune_etal_2024,2024,Europe,Lake Āraiši,25.28833333,57.25027778,8580,14250,Quantitative
Trasune_etal_2024,2024,Europe,Lake Lielais Svētiņu,27.14666667,56.75833333,11710,14850,Quantitative
Trasune_etal_2024,2024,Europe,Lake Kurjanovas,27.985,56.53111111,9410,12870,Quantitative
Trasune_etal_2024,2024,Europe,Lake Kasučiai,21.30722222,55.99111111,8360,16760,Quantitative
Trasune_etal_2024,2024,Europe,Lake Ginkūnai,23.33861111,55.94805556,8980,15990,Quantitative
Trasune_etal_2024,2024,Europe,Juodonys bog,25.4375,55.73944444,7940,13170,Quantitative
Trasune_etal_2024,2024,Europe,Site III,22.89611111,54.27527778,9380,13520,Quantitative
Trasune_etal_2024,2024,Europe,Lake Linówek,22.84166667,54.22333333,11180,13500,Quantitative
